type	latitude	longitude	altitude (m)	eos	name	desc
T	22.258309500	113.992156400	81.3			
T	22.258226600	113.992122000	83.0			
T	22.258130700	113.992075200	84.4			
T	22.258075100	113.992044200	85.0			
T	22.258009500	113.992001500	86.0			
T	22.257943000	113.991948700	87.2			
T	22.257830300	113.991848100	90.1			
T	22.257765500	113.991778300	91.2			
T	22.257662000	113.991652100	92.6			
T	22.257617300	113.991588900	93.7			
T	22.257538700	113.991470600	96.0			
T	22.257501000	113.991406700	97.2			
T	22.257470400	113.991343500	98.0			
T	22.257441500	113.991272500	98.8			
T	22.257414600	113.991191000	99.7			
T	22.257395000	113.991118500	100.5			
T	22.257379700	113.991046400	101.3			
T	22.257259200	113.990271800	98.7			
T	22.257249000	113.990226200	99.6			
T	22.257229500	113.990161200	101.0			
T	22.257207500	113.990104200	102.6			
T	22.257176900	113.990038700	104.7			
T	22.257147300	113.989989100	106.8			
T	22.257110700	113.989942000	109.3			
T	22.257072400	113.989902100	111.3			
T	22.257022000	113.989857500	113.3			
T	22.256947400	113.989803000	115.2			
T	22.256890500	113.989766600	115.9			
T	22.256483600	113.989524200	119.2			
T	22.256378600	113.989457000	120.6			
T	22.256325500	113.989418600	122.0			
T	22.256262500	113.989364500	123.6			
T	22.256233200	113.989336600	124.2			
T	22.256200800	113.989301500	124.9			
T	22.256175000	113.989268100	125.3			
T	22.256142400	113.989220900	125.7			
T	22.256091600	113.989127700	126.4			
T	22.256071400	113.989081900	126.9			
T	22.256056100	113.989035100	127.3			
T	22.256044100	113.988990300	127.6			
T	22.256032500	113.988919600	128.0			
T	22.256027400	113.988862900	128.2			
T	22.256028400	113.988813100	128.3			
T	22.256034500	113.988758700	128.3			
T	22.256044200	113.988704700	128.2			
T	22.256061000	113.988641100	128.0			
T	22.256081100	113.988585200	128.2			
T	22.256101300	113.988534100	128.9			
T	22.256157500	113.988413400	130.9			
T	22.256177400	113.988361200	131.8			
T	22.256253400	113.988298700	132.3			
T	22.256320400	113.988140500	135.2			
T	22.256343300	113.988103500	135.7			
T	22.256482200	113.988037300	134.5			
T	22.256529000	113.987982500	134.4			
T	22.256559000	113.987919600	134.8			
T	22.256569500	113.987826500	136.0			
T	22.256530200	113.987695200	137.0			
T	22.256564700	113.987569300	136.5			
T	22.256590900	113.987436200	136.0			
T	22.256667600	113.987188200	135.1			
T	22.256692100	113.986967500	141.8			
T	22.256787400	113.986787700	141.4			
T	22.256884400	113.986686600	140.0			
T	22.257009600	113.986593400	133.6			
T	22.257015800	113.986386000	128.6			
T	22.257041300	113.986178800	125.4			
T	22.257007800	113.985981300	129.1			
T	22.256987000	113.985902900	131.7			
T	22.257076000	113.985701800	138.0			
T	22.257184400	113.985349900	144.9			
T	22.257356600	113.985070400	144.7			
T	22.257459400	113.984900700	146.0			
T	22.257464100	113.984719000	151.3			
T	22.257562800	113.984447000	153.7			
T	22.257746200	113.984236900	149.6			
T	22.257903000	113.983930600	151.7			
T	22.258055000	113.983716400	151.9			
T	22.258218000	113.983151100	154.7			
T	22.258293800	113.982778400	162.0			
T	22.258321600	113.982638200	166.2			
T	22.258298800	113.982422400	173.6			
T	22.258178400	113.982244200	178.8			
T	22.258065600	113.982106100	186.2			
T	22.258011500	113.981964600	194.2			
T	22.257858500	113.981820100	199.2			
T	22.257824700	113.981695500	204.6			
T	22.257734100	113.981450900	211.8			
T	22.257629200	113.981356400	212.6			
T	22.257714300	113.981224500	217.4			
T	22.257787600	113.981092200	221.5			
T	22.257897400	113.980953000	225.4			
T	22.257992900	113.980879400	227.6			
T	22.258373600	113.980702600	239.5			
T	22.258523100	113.980543500	246.6			
T	22.258714000	113.980399900	254.5			
T	22.258870500	113.980235000	260.7			
T	22.258967000	113.979992200	266.7			
T	22.259085800	113.979874100	273.0			
T	22.259406900	113.979703500	288.2			
T	22.259485200	113.979670700	290.7			
T	22.259516400	113.979743500	291.6			
T	22.259660400	113.979836900	293.2			
T	22.259705800	113.979789200	295.6			
T	22.259736800	113.979739100	298.1			
T	22.259877200	113.979596600	305.2			
T	22.259928900	113.979456300	308.4			
T	22.259984200	113.979345200	311.2			
T	22.260142400	113.979130500	316.7			
T	22.260226500	113.979058700	321.4			
T	22.260345900	113.978907700	331.9			
T	22.260430000	113.978846700	337.3			
T	22.260458600	113.978795500	339.5			
T	22.260482000	113.978687800	342.2			
T	22.260464700	113.978547100	342.5			
T	22.260489900	113.978389100	343.6			
T	22.260512300	113.978368600	344.5			
T	22.260540800	113.978331900	345.5			
T	22.260565500	113.978292200	346.5			
T	22.260588700	113.978237500	347.8			
T	22.260609400	113.978182300	348.9			
T	22.260628900	113.978094200	350.0			
T	22.260678500	113.978039700	352.4			
