type	latitude	longitude	altitude (m)	eos	name	desc
W	22.407879900	114.123786300	855.5		M149	
W	22.407214700	114.122098300	795.2		M150	
W	22.408438800	114.121582000	768.3		M151	
W	22.411431100	114.118864300	704.2		M152	
W	22.410228900	114.115653200	639.0		M153	
W	22.408382000	114.111699100	636.1		M154	
W	22.407354400	114.107577500	552.3		M155	
W	22.406680400	114.105241800	467.8		M156	
W	22.407511400	114.102185700	496.3		M157	
W	22.405025400	114.098425500	486.6		M158	
W	22.401968600	114.095871400	502.8		M159	
W	22.399442300	114.092295100	527.7		M160	
W	22.401415400	114.089094500	504.0		M161	
W	22.401229100	114.084658600	416.1		M162	
W	22.398531700	114.081991500	387.7		M163	
W	22.396824700	114.078026200	383.0		M164	
W	22.396100000	114.074061600	397.4		M165	
W	22.393368100	114.073441700	326.7		M166	
W	22.392838700	114.069889500	286.5		M167	
W	22.391267800	114.066732500	244.9		M168	
W	22.389915700	114.063338100	224.5		M169	
W	22.393457200	114.061237800	195.8		M170	
W	22.395901300	114.058691700	168.1		M171	
W	22.397584300	114.053341900	107.8		M172	
W	22.397655600	114.049111100	77.3		M173	
W	22.397186600	114.046423200	71.3		M174	
W	22.397032200	114.043183500	82.8		M175	
W	22.397445200	114.039357400	106.1		M176	
W	22.398653800	114.036052500	151.4		M177	
W	22.397994700	114.033682900	134.1		M178	
W	22.395974800	114.030807800	148.4		M179	
W	22.395171300	114.027074900	168.9		M180	
W	22.392940300	114.025205800	205.5		M181	
W	22.392159100	114.023129400	210.2		M182	
W	22.391956000	114.020570800	205.4		M183	
W	22.388454700	114.019984300	142.3		M184	
W	22.385676400	114.020869300	89.6		M185	
W	22.383664400	114.017924800	79.5		M186	
W	22.381881600	114.015490400	39.7		M187	
W	22.381382700	114.011224400	65.4		M188	
W	22.380085500	114.007623800	69.8		M189	
W	22.379491900	114.003369000	67.6		M190	
W	22.379124800	113.999011600	69.0		M191	
W	22.379000000	113.996890100	76.1		M192	
W	22.378177200	113.992671000	69.9		M193	
W	22.379027800	113.988929000	76.2		M194	
W	22.379990100	113.984829900	69.2		M195	
W	22.382336200	113.983736800	77.9		M196	
W	22.386887600	113.983739000	86.2		M197	
W	22.389676200	113.983346000	81.3		M198	
W	22.394450100	113.982309300	91.2		M199	
W	22.395109800	113.977896600	10.6		M200	
